,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
34,Serbia,670801,2864,6095,37,604174,4794,60532,228,77023,700,3726602,427899,8709068,Europe
35,Switzerland,642131,2686,10536,4,573786,1209,57809,226,73763,1210,6663629,765465,8705330,Europe
36,Austria,600089,2523,9997,38,563256,2764,26836,557,66326,1105,29335166,3242318,9047592,Europe
37,Japan,541496,4342,9710,39,488944,2868,42842,791,4292,77,11079602,87818,126165185,Asia
38,Lebanon,515088,2082,7027,32,433987,1439,74074,721,75739,1033,3870650,569141,6800861,Asia
39,Morocco,507338,669,8969,10,493353,628,5016,218,13616,241,6186340,166030,37260477,Africa
40,UAE,502791,1931,1561,2,485078,1898,16152,0,50350,156,42293166,4235259,9985970,Asia
41,Saudi Arabia,408038,1028,6858,12,391362,824,9818,1145,11577,195,16352116,463931,35246885,Asia
42,Bulgaria,390911,0,15518,0,314273,0,61120,765,56602,2247,2391777,346316,6906335,Europe
43,Malaysia,381813,2340,1400,11,358726,1910,21687,248,11677,43,8783027,268614,32697551,Asia
44,Slovakia,377473,764,11304,60,255300,0,110869,411,69112,2070,2520570,461494,5461766,Europe
45,Ecuador,362843,1689,17804,60,309541,0,35498,650,20319,997,1236484,69243,17857054,South America
46,Panama,361319,0,6192,0,351228,0,3899,105,82700,1417,2312363,529265,4369010,North America
47,Belarus,347316,1318,2453,10,337620,1393,7243,0,36765,260,5705532,603963,9446826,Europe
48,Greece,323639,3010,9713,86,278690,0,35236,831,31173,936,7629407,734862,10382100,Europe
49,Croatia,313423,3117,6692,49,291351,1687,15380,230,76727,1638,1723697,421969,4084894,Europe
50,Azerbaijan,305933,2075,4235,32,269965,2480,31733,0,29957,415,3141335,307602,10212350,Asia
